Category,Product,URL
foundation-makeup,IT Cosmetics CC+ Cream Illumination with SPF 50+,https://www.sephora.com/product/your-skin-but-better-cc-illumination-cream-spf-50-P411884?icid2=products%20grid:p411884
foundation-makeup,KVD Vegan Beauty Lock-It Powder Foundation,https://www.sephora.com/product/lock-it-powder-foundation-P441024?icid2=products%20grid:p441024
foundation-makeup,MAKE UP FOR EVER Water Blend Face & Body Foundation,https://www.sephora.com/product/water-blend-face-body-foundation-P410512?skuId=1856426&icid2=products%20grid:p410512
foundation-makeup,Armani Beauty Power Fabric Longwear High Cover Foundation SPF 25,https://www.sephora.com/product/power-fabric-longwear-high-cover-foundation-spf-25-P416785?icid2=products%20grid:p416785
foundation-makeup,CLINIQUE Stay-Matte Oil-Free Makeup Foundation,https://www.sephora.com/product/stay-matte-oil-free-makeup-P310726?icid2=products%20grid:p310726
foundation-makeup,IT Cosmetics CC+ Airbrush Perfecting Powder,https://www.sephora.com/product/your-skin-but-better-cc-airbrush-perfecting-powder-spf-50-P411889?icid2=products%20grid:p411889
foundation-makeup,IT Cosmetics Bye Bye Redness Neutralizing Color-Correcting Cream,https://www.sephora.com/product/bye-bye-redness-neutralizing-correcting-cream-P411393?icid2=products%20grid:p411393
foundation-makeup,PAT McGRATH LABS Sublime Perfection Foundation,https://www.sephora.com/product/skin-fetish-sublime-perfection-foundation-P447519?icid2=products%20grid:p447519
foundation-makeup,Kosas Tinted Face Oil Foundation,https://www.sephora.com/product/tinted-face-oil-P441884?icid2=products%20grid:p441884
foundation-makeup,Urban Decay All Nighter Liquid Foundation,https://www.sephora.com/product/all-nighter-liquid-foundation-P410548?icid2=products%20grid:p410548
foundation-makeup,tarte Clay Stick Foundation,https://www.sephora.com/product/clay-stick-foundation-P419646?icid2=products%20grid:p419646
foundation-makeup,Too Faced Born This Way Matte 24 Hour Foundation,https://www.sephora.com/product/too-faced-born-this-way-matte-24-hour-foundation-P458586?icid2=products%20grid:p458586
foundation-makeup,Armani Beauty Luminous Silk Foundation Customizable Set,https://www.sephora.com/product/giorgio-armani-beauty-luminous-silk-foundation-customizable-set-P460563?icid2=products%20grid:p460563
foundation-makeup,Too Faced Born This Way Pressed Powder Foundation,https://www.sephora.com/product/born-this-way-multi-use-complexion-powder-P447123?icid2=products%20grid:p447123
foundation-makeup,"rms beauty ""Un"" Cover-up Concealer",https://www.sephora.com/product/un-cover-up-concealer-foundation-P408972?icid2=products%20grid:p408972
foundation-makeup,NARS All Day Luminous Weightless Foundation,https://www.sephora.com/product/all-day-luminous-weightless-foundation-P393658?icid2=products%20grid:p393658
foundation-makeup,Anastasia Beverly Hills Luminous Foundation,https://www.sephora.com/product/luminous-foundation-P449124?icid2=products%20grid:p449124
foundation-makeup,Dior Diorskin Forever Perfect Matte Powder Foundation,https://www.sephora.com/product/diorskin-forever-perfect-matte-powder-foundation-P297404?icid2=products%20grid:p297404
foundation-makeup,SEPHORA COLLECTION Matte Perfection Tinted Moisturizer,https://www.sephora.com/product/matte-perfection-tinted-moisturizer-P448496?icid2=products%20grid:p448496
